City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
104,Magaria,12.9983,8.9099,83.03,60,67,8.93,NE,2022-10-04 00:56:36,broken clouds
105,Ziarat,30.3823,67.7282,51.64,26,0,2.21,PK,2022-10-04 00:56:36,clear sky
106,Airai,-8.9266,125.4092,72.14,67,80,1.5,TL,2022-10-04 00:56:36,broken clouds
107,Labrea,-7.2586,-64.7981,78.87,71,87,1.32,BR,2022-10-04 00:56:37,moderate rain
108,Hilo,19.7297,-155.09,84.27,87,77,1.99,US,2022-10-04 00:56:37,broken clouds
109,Meulaboh,4.1363,96.1285,76.37,86,97,1.43,ID,2022-10-04 00:56:38,light rain
110,Dikson,73.5069,80.5464,31.39,99,100,3.85,RU,2022-10-04 00:56:38,light snow
111,Poum,-20.2333,164.0167,74.26,63,1,16.24,NC,2022-10-04 00:56:38,clear sky
112,Avarua,-21.2078,-159.775,78.85,73,75,18.41,CK,2022-10-04 00:56:39,broken clouds
113,Praya,14.9215,-23.5087,79.34,83,75,12.66,CV,2022-10-04 00:56:39,thunderstorm
114,Qandala,11.472,49.8728,84.13,55,100,3.51,SO,2022-10-04 00:56:39,overcast clouds
115,Hibbing,47.4272,-92.9377,62.2,61,100,5.14,US,2022-10-04 00:56:40,overcast clouds
116,Tasiilaq,65.6145,-37.6368,34.54,99,100,8.79,GL,2022-10-04 00:55:27,light snow
117,Sao Joao Da Barra,-21.6403,-41.0511,71.69,92,100,7.85,BR,2022-10-04 00:56:40,overcast clouds
118,Ketchikan,55.3422,-131.6461,55.33,74,100,4.38,US,2022-10-04 00:56:41,overcast clouds
119,Djenne,13.9061,-4.5533,79.97,55,100,6.51,ML,2022-10-04 00:56:41,overcast clouds
120,Souillac,-20.5167,57.5167,70.18,78,40,9.22,MU,2022-10-04 00:56:42,scattered clouds
121,Yarada,17.65,83.2667,79.12,100,75,3.44,IN,2022-10-04 00:56:42,mist
122,Faanui,-16.4833,-151.75,78.4,75,5,15.05,PF,2022-10-04 00:56:42,light rain
123,Senanga,-16.1167,23.2667,66.7,27,0,6.17,ZM,2022-10-04 00:56:43,clear sky
124,Bathsheba,13.2167,-59.5167,83.01,83,20,13.8,BB,2022-10-04 00:56:43,few clouds
125,Quelimane,-17.8786,36.8883,69.75,94,0,0.0,MZ,2022-10-04 00:56:44,clear sky
